"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.001747760299106,0.00892372367930296,0.482263453070731,0.410181616074215,0.0786391883619867,-0.0751643399205455,0.0857668636443227,-0.0680249562570092
"30",30,0.0141332253536414,0.0535382737526504,0.359553557336491,0.0863917647274881,0.0909363866882619,-0.0628370682377127,0.129905424773364,-0.0234603147218385
"50",50,0.0466950012020377,0.184647964353506,0.117249208004428,1.07192791776178e-06,0.123154757657294,-0.0303158588559594,0.257888004617855,0.109297975795664
"70",70,0.0794028410515129,0.398660022718772,0.021501403996973,0,0.155356196940477,0.00251620795189738,0.461416041741876,0.33193438722547
"90",90,0.0991525507553425,0.552701736981059,0.00571494633049219,0,0.174722285880958,0.0224215178220804,0.603934195506704,0.496920795041511
"110",110,0.0988127303382555,0.511468351201247,0.00585837495497765,0,0.174389559809399,0.022078504947121,0.566103822346581,0.452358960461453
