"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.00173349463529921,0.00561820669327031,0.482408129236173,0.443160034323848,0.0786250108599257,-0.0751785250157121,0.0824845667894301,-0.0713146025367025
"30",30,0.0165703813752515,0.0178613709866689,0.336629560624052,0.324721127950848,0.0933534192017636,-0.060408594682827,0.0946333825897371,-0.0591218349562309
"50",50,0.0413076013911945,0.0694067099251768,0.146500018330125,0.0385089151851925,0.117835279137804,-0.0357078270777881,0.14553192878601,-0.0075355086244139
"70",70,0.0661376791443647,0.163108821997461,0.0460149304665154,1.46728561162268e-05,0.142315841409259,-0.0108193470109897,0.237037564042076,0.0873018863141289
"90",90,0.0788121507004898,0.255077683725347,0.0222907919439814,2.05303551936709e-11,0.154776079667962,0.00192180071101701,0.325592857291319,0.181740708797068
"110",110,0.0848358282531907,0.266987017487293,0.0152846512838511,2.26219043497622e-12,0.160689480566577,0.00798593116284151,0.336970394609076,0.194069625350494
