"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.00123985003149309,0.00714206060089145,0.487415751092146,0.427893633361149,0.0781343978173775,-0.0756693624729449,0.0839979233503018,-0.0697982729757036
"30",30,0.0156814978798634,0.035356149055768,0.34492585074862,0.184072141023883,0.0924719800197121,-0.0612944170802986,0.111953749120837,-0.0416591180188947
"50",50,0.0493016692575719,0.102826869574368,0.104685853883805,0.0043516707200919,0.12572698602027,-0.0277053704587787,0.178318795015827,0.0261315092173801
"70",70,0.0889958058225647,0.245785549329734,0.0116313215110084,1.06296860202804e-10,0.164770124128236,0.0121771480167246,0.316701446355912,0.172137185419494
"90",90,0.105808498129353,0.330963486638591,0.00346709482327889,0,0.181235800943663,0.0291436389020041,0.397742246768482,0.260696676465832
"110",110,0.103822705431169,0.316255581987539,0.00403607160226149,0,0.179293195124784,0.0271373772965364,0.383822747126762,0.245319933401915
