"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.00189679640567306,0.00521094907016373,0.48075213652996,0.447255324510065,0.0787873015662149,-0.0750161436685739,0.0820800545954058,-0.0717197890344916
"30",30,0.0121009839566772,0.00815300893732318,0.379066575048621,0.417823315850392,0.0889202333529085,-0.0648613730400336,0.0850017119985746,-0.0687921201921162
"50",50,0.0246928864616576,0.0301245767366378,0.264860610136371,0.22162259170463,0.101402327968049,-0.0523084413890536,0.106779205406324,-0.0468860390048015
"70",70,0.0480514018459282,0.0595503430004638,0.11058480666489,0.0646755535428324,0.124493365549175,-0.028957601357474,0.135830300322941,-0.0174314828403128
"90",90,0.0621522370978875,0.0469562066554042,0.0567041104841579,0.115944245394044,0.138392768367408,-0.0148205975544224,0.123412558348781,-0.0300543179328566
"110",110,0.0698443407869563,0.0757115343250839,0.0375842897762434,0.0268451129188385,0.145962349951241,-0.00709576945427768,0.151730103452306,-0.00119743524581056
