"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.00420439707858084,0.0239127636219558,0.457400175511661,0.271404148121866,0.08108017936714,-0.0727211132488919,0.100629709357416,-0.0530868575482412
"30",30,0.0673828822217241,0.10392796110203,0.0430281653297773,0.00400393876027816,0.143541067547618,-0.00956869927489458,0.179396176475408,0.0272437024061588
"50",50,0.180743383213594,0.25258768957254,1.76369393733999e-06,3.21065396491349e-11,0.254113325783476,0.105305076327864,0.323211466772728,0.179165899552514
"70",70,0.335192782860041,0.465001061688507,0,0,0.401739152554461,0.26512490853472,0.523193901505296,0.402491980243906
"90",90,0.421473498645529,0.657283847867985,0,0,0.482729203034842,0.356113920209591,0.698860913639013,0.611279872156921
"110",110,0.418804209941526,0.749951834697598,0,0,0.480239201102783,0.353280267596453,0.781767137118123,0.714242179277572
