"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.00605095988514226,0.0196472998949051,0.43881500502037,0.308539668988058,0.0829143749261462,-0.0708840223029148,0.0964036396963223,-0.0573413357436979
"30",30,0.0585769014887517,0.0885969906712058,0.0678717975923251,0.0119452774778785,0.134871346792254,-0.0184080184192627,0.164379027080036,0.0117752209522419
"50",50,0.168689179100984,0.220756116310065,7.67901694476159e-06,6.43880304629363e-09,0.242446037095816,0.0929935434225373,0.292689249654374,0.146338445910013
"70",70,0.314237560444523,0.404792344464705,1.11022302462516e-16,0,0.381910501360557,0.243212923752364,0.467152202419612,0.33842530310315
"90",90,0.400302005311265,0.564266378991793,0,0,0.462952463289617,0.33367176730082,0.614503112947692,0.509472008060347
"110",110,0.399064735414533,0.600001288540553,0,0,0.46179477091469,0.33236257127333,0.647047667172827,0.548403332287028
