"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.00425302356999997,0.00590730016613789,0.456909386910117,0.440256621697839,0.0811284868615705,-0.072672742875904,0.0827716960385074,-0.0710269638510743
"30",30,0.00737921760631871,0.00901373200863574,0.425526786426786,0.409291332107562,0.0842334147785454,-0.0695622550058638,0.0858562163738462,-0.067935356676102
"50",50,0.00779078054111553,0.0246799359303806,0.421425749491478,0.264968580363502,0.0846420668904214,-0.0691526483110011,0.101389502766969,-0.0523213643521792
"70",70,0.0282348016856601,0.0617259687976512,0.236191628769424,0.0579544119553161,0.104909009088744,-0.0487730976202944,0.137973029143698,-0.0152484107877505
"90",90,0.037743994231363,0.0721222088172513,0.168332154351275,0.0330594219900657,0.114314184848573,-0.0392719938705772,0.148202226257029,-0.00480644704349377
"110",110,0.0219437205111113,0.0894672730214468,0.28826935153539,0.011269413582512,0.0986791954574459,-0.0550511768895499,0.165232436487667,0.0126523260452383
