"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.000772692929908091,0.00236780545699026,0.492156515575674,0.475977735625737,0.0776700753093946,-0.0761338287282395,0.0792553715899878,-0.0745477665309671
"30",30,0.000839210812613296,0.0313890056023697,0.491481401342732,0.212167735296212,0.0777361916149069,-0.0760676960293235,0.108030231547652,-0.0456231206719852
"50",50,0.0135773442368957,0.131560983584713,0.364857237677308,0.000386439683420337,0.0903849687029156,-0.0633908413806448,0.206375022723231,0.055217639482086
"70",70,0.0332242370764446,0.282410336338215,0.198871711290589,1.0991207943789e-13,0.109845578165545,-0.0437896435715764,0.351674691526528,0.210070635732587
"90",90,0.0462841330513815,0.457076261137938,0.119322817953485,0,0.122749224208338,-0.0307272333517493,0.515846224014001,0.394024246295919
"110",110,0.0527432842623879,0.580271597239797,0.0896292113908155,0,0.129121556636783,-0.0242571017548724,0.629100582203043,0.526881168560854
