"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0,0.00265982940668602,0.5,0.473019307369645,0.076901997661955,-0.0769019976619549,0.0795455563277798,-0.0742573573151446
"30",30,0,0.0256690988800163,0.5,0.256786544225296,0.076901997661955,-0.0769019976619549,0.102369019587298,-0.0513342328132619
"50",50,0.00736863645518144,0.107875893373882,0.425632330824472,0.002952139072673,0.0842229081228516,-0.0695727855206346,0.183257609420036,0.0312330006783613
"70",70,0.0279002596612106,0.1823223793529,0.238824490871763,1.44384941558329e-06,0.104577876526416,-0.0491071014956407,0.255640059199861,0.106919495141336
"90",90,0.0399786445122661,0.213989787521163,0.154409208613538,1.80306425345833e-08,0.116522401319239,-0.0370372217779154,0.286182299958917,0.139381485331607
"110",110,0.0487085308852491,0.266109890587375,0.107455394125848,2.67119659724813e-12,0.125141774574335,-0.0282994704613584,0.336133131384058,0.193160809555082
