"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.00287362575381258,0,0.470854316988652,0.5,0.0797579978903434,-0.074044734873507,0.076901997661955,-0.0769019976619549
"30",30,0.00461728707603923,0.0176975148646056,0.453235000837692,0.326223033518371,0.0814903492588719,-0.0723103864566988,0.0944709400101415,-0.0592851683847345
"50",50,0.00624740079052894,0.0574687045570364,0.436845046024648,0.0716571278812244,0.0831094695383196,-0.0706885583127989,0.133779469447958,-0.0195195589795889
"70",70,0.0184391291249438,0.0817884004750802,0.319448177528089,0.0185490307311799,0.0952061239447749,-0.0585458869480666,0.157698523095351,0.00491733130948552
"90",90,0.0320502966147313,0.140035173038133,0.207318068576083,0.000171142147217473,0.108684416335739,-0.0449625216056218,0.214625868043193,0.0638204568903773
"110",110,0.0477083873210225,0.179621884761941,0.112243976799913,2.03091306394398e-06,0.124154876843939,-0.0293011123213988,0.253028725346801,0.104158660018777
