"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.000821299475225012,0,0.491663187718546,0.5,0.0777183884771575,-0.0760855037144523,0.076901997661955,-0.0769019976619549
"30",30,0.00177929938066382,0,0.481943605703866,0.5,0.0786705324217518,-0.0751329788527714,0.076901997661955,-0.0769019976619549
"50",50,0.0109399359680512,0.00901180478597207,0.390357949758994,0.409310389643123,0.0877680940752792,-0.0660176024963312,0.0858543032015759,-0.0679372751598105
"70",70,0.0299774971980938,0.0292168753518922,0.222737773330188,0.228555591950327,0.106633669125511,-0.0470329268538197,0.105880975817195,-0.0477925042329269
"90",90,0.0388708872820957,0.0432257210957723,0.161213307131235,0.135570847194794,0.115427842395117,-0.0381451356840904,0.119729719891493,-0.0337885947308515
"110",110,0.0502030235682201,0.0350208155516183,0.100576501254316,0.186353553632257,0.126616192475064,-0.0268024506580905,0.111622195589657,-0.0419942798734377
