"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.00160622687634691,0.00262147774121115,0.483698923629963,0.47340775821009,0.0784985282387408,-0.0753050726229672,0.0795074469503118,-0.074295497660908
"30",30,0.0102328115374501,0.0239281813490544,0.397281016428454,0.271274052592389,0.0870662946731023,-0.06672169100105,0.100644979673207,-0.0530714744569783
"50",50,0.0194758528355418,0.16351421683438,0.310077723568885,1.40085589388494e-05,0.0962337181793377,-0.0575122828121541,0.237430626482319,0.0877152000890521
"70",70,0.0352843479801494,0.425467816488751,0.184559168209399,0,0.111882758841845,-0.0417308837995179,0.486453387648836,0.360356438256346
"90",90,0.0549810817563696,0.728737261598205,0.0807403160814543,0,0.131327805099837,-0.0220139944869003,0.762886091869559,0.690533705852827
"110",110,0.0802060204963061,0.831732049881488,0.0204659761992657,0,0.156144915817727,0.00332452853700826,0.854009983804123,0.806409500706006
