"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.0019024445837719,0.00656520313075201,0.480694865868384,0.433661370721587,0.0787929147013507,-0.0750105272525089,0.0834250813682284,-0.0703723239155791
"30",30,0.0024783224690384,0.0430696808143708,0.474857948663759,0.136438540217667,0.0793651940814536,-0.0744378621523713,0.119575626722745,-0.0339447467536201
"50",50,0.0120439479343776,0.145605824939911,0.379618948902573,9.76735672295614e-05,0.0888636397683034,-0.0649181771806157,0.220043907613682,0.0694818417807291
"70",70,0.0250654228856757,0.332537036895898,0.261764308629659,0,0.101771248213849,-0.051936686952037,0.399229630071468,0.262343897398083
"90",90,0.0446269264058865,0.543845224469914,0.12794815847312,0,0.121113275443266,-0.032386217509141,0.595828034822698,0.487324493944129
"110",110,0.0603208597776951,0.623117325035558,0.0622293089288357,0,0.13658924797134,-0.0166584128400799,0.668009020442459,0.573706762852284
