"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0,0.0284552023395829,0.5,0.234465817918419,0.076901997661955,-0.0769019976619549,0.105127154254828,-0.0485530420947009
"30",30,0.0233835737323731,0.120590158231258,0.275888188541906,0.00103574670230233,0.100105557223484,-0.0536148364624964,0.195677516170014,0.044097100501773
"50",50,0.125962554094684,0.328289596343497,0.000645276005482698,0,0.200918301966726,0.0495404434148734,0.395213972353184,0.257898537597751
"70",70,0.298477611066602,0.620636060828758,3.77475828372553e-15,0,0.36695666002449,0.226781037516389,0.665762446643068,0.570986178812243
"90",90,0.391547560686241,0.869942525328169,0,0,0.454756481612738,0.324413922383325,0.887472341110311,0.849899044020581
"110",110,0.401551937126489,0.939744732891916,0,0,0.464121786208193,0.334994622355659,0.948127236966701,0.930056271841377
