"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.00209003177263226,0.00942972809295635,0.478793026727929,0.405182791051137,0.0789793352741184,-0.0748239921713905,0.0862691663811047,-0.0675212335994839
"30",30,0.0145274229663805,0.05976316906366,0.3558087246665,0.0639925408171317,0.0913273907772614,-0.0624443367497049,0.136039939802081,-0.0172179607461222
"50",50,0.0471542871907765,0.207599464206861,0.114961532687948,4.62498122022481e-08,0.123608050063143,-0.0298559759692565,0.280030822017951,0.132817879217549
"70",70,0.0804103505912356,0.455692583098399,0.0202093919379727,0,0.156345551671055,0.00353018257786438,0.514562424966025,0.392546868334179
"90",90,0.101771969320319,0.686336644534516,0.00470981512058277,0,0.17728644037475,0.025066151081337,0.724974034854799,0.643393373123692
"110",110,0.102986082650633,0.681634291955961,0.00429977991402097,0,0.178474590913902,0.0262923158044267,0.720755005093729,0.638185357250269
