"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.000389924236513213,0.0110231468992967,0.496041750749917,0.389545507153157,0.0772896042960477,-0.0765143677816567,0.0878506733682358,-0.0659347437779543
"30",30,0.0068013805235172,0.0505138408905664,0.43129816300938,0.0991870435943165,0.0836596208783567,-0.0701373017351411,0.126922792334791,-0.0264910643646457
"50",50,0.00693827926851087,0.187234343109154,0.429929461337215,7.66277556740746e-07,0.0837955663366008,-0.0700010686911889,0.260387106242224,0.111944195781064
"70",70,0,0.423297088449726,0.5,0,0.076901997661955,-0.0769019976619549,0.484429739478024,0.358050490608688
"90",90,0,0.655657419162776,0.5,0,0.076901997661955,-0.0769019976619549,0.697395769939145,0.609486566315925
"110",110,0,0.787962057369756,0.5,0,0.076901997661955,-0.0769019976619549,0.815451097512424,0.756926680036024
