"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.000256435586475626,0.00251531742640031,0.497396813785579,0.47448315000641,0.077156911682585,-0.0766470735871093,0.0794019561349477,-0.0744010718532387
"30",30,0.00153782376841385,0.0367732803567321,0.484392763312612,0.174623611809023,0.0784305460990989,-0.0753730876445158,0.113354717823059,-0.0402425206876666
"50",50,0.014385292796476,0.151068766420668,0.357157367753429,5.52472035736384e-05,0.0911864147801121,-0.0625859410479921,0.225352731001303,0.0750385281027138
"70",70,0.0337687769989266,0.331400941991111,0.195025109325393,0,0.110384119640727,-0.04324552437757,0.398155782477636,0.261154571603104
"90",90,0.0477241600121217,0.563164887765773,0.112167296690709,0,0.124170441816455,-0.0292853172017223,0.613497237329587,0.50827554398189
"110",110,0.0540372642959634,0.720309559253887,0.0844047661693812,0,0.130397386026617,-0.0229601459416886,0.755369206138673,0.681138005348212
