"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.00207474419193388,0.00189320928174227,0.478948001314417,0.480788508988459,0.0789641429690821,-0.0748391942111149,0.0787837366953276,-0.0750197106180944
"30",30,0.00938002882600452,0.0232399870385912,0.405673102087709,0.277111089438292,0.0862198324192757,-0.0675707104919178,0.0999633300941637,-0.0537580871535398
"50",50,0.000384881074072645,0.0708060344176602,0.496092943907878,0.035615902956747,0.0772845912571541,-0.0765193814179805,0.146908099044345,-0.00612933826031265
"70",70,0,0.113526575225823,0.5,0.0018767069049157,0.076901997661955,-0.0769019976619549,0.188780440276602,0.0369471416438312
"90",90,0,0.13661745246601,0.5,0.000239027659791557,0.076901997661955,-0.0769019976619549,0.211299504777213,0.0603494959634298
"110",110,0,0.13294335971282,0.5,0.000339434309351461,0.076901997661955,-0.0769019976619549,0.207721691821965,0.0566202251473622
