"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0,0,0.5,0.5,0.076901997661955,-0.0769019976619549,0.076901997661955,-0.0769019976619549
"30",30,0.00245848220691438,0.00855511393069842,0.475058960997387,0.413832356096889,0.079345478638679,-0.0744575925707721,0.0854009258665031,-0.0683918791145248
"50",50,0,0.0368787839700805,0.5,0.173932687494437,0.076901997661955,-0.0769019976619549,0.113459005973228,-0.0401370444434098
"70",70,0,0.0873132542941582,0.5,0.0130061574055392,0.076901997661955,-0.0769019976619549,0.163119972513584,0.0104816362462239
"90",90,0,0.104412086731607,0.5,0.00385906711654038,0.076901997661955,-0.0769019976619549,0.179869820024473,0.0277327692865515
"110",110,0,0.0997477683627269,0.5,0.00547120201658835,0.076901997661955,-0.0769019976619549,0.175305035692436,0.0230223707634198
