"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.00270095992004675,0.000791366491062447,0.472602738990374,0.491966988451952,0.0795864267479001,-0.0742164531830244,0.0776886362040952,-0.0761152633680192
"30",30,0.00418932678395506,0.0035189355997514,0.457552293629554,0.464325111084291,0.0810652078625674,-0.0727361040939833,0.0803991761851893,-0.0734029258611914
"50",50,0,0.0185343253447489,0.5,0.318582810260194,0.076901997661955,-0.0769019976619549,0.0953004886809694,-0.058450984062177
"70",70,0,0.0397179925943697,0.5,0.155992896176857,0.076901997661955,-0.0769019976619549,0.116264871649279,-0.0372979275955641
"90",90,0.00624677772945658,0.0397391940495601,0.436851291795638,0.155863681209298,0.083108850756664,-0.0706891782846826,0.116285819525041,-0.037276722147848
"110",110,0.016592919758998,0.0372370457841098,0.336420208136781,0.171599460791238,0.0933757672642325,-0.0603861323394858,0.11381312780818,-0.0397788627568394
