"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0,0.00336993604149902,0.5,0.465831893222291,0.076901997661955,-0.0769019976619549,0.080251136235203,-0.0735511227479606
"30",30,0,0.0082562861093482,0.5,0.41679744901749,0.076901997661955,-0.0769019976619549,0.0851042489649584,-0.0686893241145131
"50",50,0,0.0201695923004577,0.5,0.303874879763421,0.076901997661955,-0.0769019976619549,0.0969212571508504,-0.05682053867285
"70",70,0.00516625439150016,0.0528330597223346,0.447705113975565,0.0892591727157541,0.0820356596728181,-0.0717642548704126,0.129210080981274,-0.0241671282041841
"90",90,0.0228255672653401,0.0933520938194207,0.280655395098122,0.00864129094844623,0.0995528167102613,-0.0541715193829338,0.169040555671125,0.0165690447080966
"110",110,0.0332369883681773,0.123785504429974,0.198781118364738,0.000783399442900512,0.109858189508249,-0.0437769026542924,0.198795101431762,0.0473340967234187
