"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0,0.00327593500287573,0.5,0.466782746771774,0.076901997661955,-0.0769019976619549,0.080157738850647,-0.0736446156485392
"30",30,0,0.0169646606043896,0.5,0.332974555382953,0.076901997661955,-0.0769019976619549,0.0937443578499852,-0.060015634431908
"50",50,0.00675131174339934,0.0549435355172321,0.431798952820879,0.0808837653190033,0.0836099000348733,-0.0701871263277474,0.13129079443405,-0.0220516362096059
"70",70,0.0158378004335616,0.0966894690613745,0.343461478868085,0.00682883797968137,0.0926269822758734,-0.0611386615804494,0.172310234448257,0.0199357055975781
"90",90,0.0284943686330944,0.141927997585463,0.234159862760339,0.000141768778911588,0.105165918964807,-0.0485139363499151,0.216467352257145,0.065743561080527
"110",110,0.0434369564925309,0.193476082042805,0.134402251614992,3.34360329090622e-07,0.119938313563966,-0.0335772020767128,0.266414183732843,0.118334751314956
