"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.00166099217097058,0.00528612084625423,0.483143453058623,0.446498978570336,0.0785529559798068,-0.0752506175244707,0.082154721525116,-0.0716450014583018
"30",30,0.00278191589914702,0.0390407593702417,0.471782907461633,0.160157433513816,0.0796668700380261,-0.0741359420274084,0.115595702622467,-0.0379752518607289
"50",50,0.0132990435233624,0.128630957349119,0.367522311834419,0.000506645244912951,0.0901088847551179,-0.0636680689379484,0.203519742283054,0.0522457737094159
"70",70,0.026151191297273,0.283028336038649,0.252846926121607,9.70334923522387e-14,0.10284635682601,-0.0508530759102042,0.35226316926305,0.210712591580776
"90",90,0.0451135332676814,0.440017564258782,0.125371842063108,0,0.121593683430928,-0.0318991327198735,0.500000432438848,0.37583309313022
"110",110,0.0609225925608759,0.534120933344791,0.0603694824666621,0,0.137181883622812,-0.0160546221145895,0.586915400438527,0.476803628894184
