"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.00135543223182557,0.00357654827177814,0.486243057344105,0.463742629242716,0.0782492735458281,-0.0755544408809963,0.0804564169025896,-0.0733456226421083
"30",30,0.00364122371723045,0.0315218248661837,0.463088833018956,0.211188412041495,0.0805206741911406,-0.0732812939805059,0.108161628864381,-0.0454904457897416
"50",50,0.0144404948115945,0.115548648036003,0.356633354931745,0.00158814526823736,0.0912411688910572,-0.0625309436445073,0.190755606285933,0.0389931403725172
"70",70,0.028259817634263,0.238163982713953,0.235995395009342,3.89809517997719e-10,0.104933769405846,-0.0487481212206049,0.309399244707955,0.164270648976275
"90",90,0.0435662413357062,0.338385091137077,0.133690436361093,0,0.120065978230032,-0.033447817586033,0.404754372398293,0.268469333894088
"110",110,0.0508909115774423,0.350849475544007,0.0975202767910337,0,0.127294726971242,-0.0261132833635719,0.416513511510809,0.281543818851357
