"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0,0.000595624328536169,0.5,0.493953753389198,0.076901997661955,-0.0769019976619549,0.0774940723976973,-0.0763098686841159
"30",30,0.00207345596106954,0.00867563047361836,0.478961060625247,0.412637916710458,0.0789628627651323,-0.0748404752321079,0.0855205710927082,-0.0682719163890741
"50",50,0.00302731082477312,0.0357548497036893,0.469298565340202,0.181382297601934,0.0799107047752171,-0.07389188933084,0.112347933312219,-0.0412605989001499
"70",70,0.0118893255057481,0.0568050443886038,0.381117643275151,0.0740001723175334,0.0887102142760037,-0.0650721684781221,0.133125493795806,-0.020185130428892
"90",90,0.0235079374710468,0.0278012320278932,0.274831147983334,0.239606904167732,0.100228740878316,-0.0534907611822609,0.104479854865245,-0.0492059665281175
"110",110,0.0486093851341493,0,0.107923427746352,0.5,0.125043948656305,-0.0283987716465684,0.076901997661955,-0.0769019976619549
