"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.00142141738189598,0,0.485573626437641,0.5,0.0783148544599395,-0.075488831951913,0.076901997661955,-0.0769019976619549
"30",30,0.0136889338142326,0,0.363790447900225,0.5,0.0904956661132636,-0.0632796787677781,0.076901997661955,-0.0769019976619549
"50",50,0.0207881298509464,0.0115414743329846,0.298391472053198,0.384495706393185,0.0975342045822535,-0.0562037178121657,0.0883650425028968,-0.0654185864086324
"70",70,0.030676325815321,0.02978019469142,0.217467621634149,0.224238752746875,0.107325135889947,-0.046334979340455,0.106438431691176,-0.0472299669846501
"90",90,0.0461609186890196,0.0362288755207355,0.1199496708898,0.178216400380919,0.122627604680862,-0.0308505944759104,0.112816558027632,-0.0407867570196548
"110",110,0.0689051001008215,0.0395494013844882,0.0395913756354564,0.157022903242698,0.145038547225554,-0.00803949837944497,0.11609829444612,-0.0374665480848563
