"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.000774875663492516,0.00294067327569647,0.492134361850809,0.470175539961011,0.0776722448762629,-0.0761316586449046,0.0798246191069768,-0.0739780540533756
"30",30,0.00894682849431299,0.0244441061911643,0.409953039114177,0.266938617739994,0.0857898002871429,-0.0680019564846688,0.101155950836331,-0.0525566875634571
"50",50,0.0177937812731291,0.15670744939721,0.325340312732759,3.00526522281075e-05,0.0945663764497611,-0.0591892095611251,0.23082771550503,0.0807789279589442
"70",70,0.0331307939483688,0.388148669363357,0.199536345389023,0,0.109753159849379,-0.0438830099099042,0.45157152432569,0.320823049832138
"90",90,0.0512441732245424,0.648101591336366,0.0959774334939568,0,0.127643157375465,-0.0257593362964007,0.690584638560406,0.601161676210441
"110",110,0.0771568213144833,0.720696609812967,0.0246339305914249,0,0.153150100756617,0.000256344677180364,0.755714628799413,0.681569229704994
