"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.00280591192765315,0.0121002498469465,0.4715399253073,0.379073683081478,0.0796907139088327,-0.0741120776556495,0.0889195049409371,-0.064862104168387
"30",30,0.0188845912597652,0.0852410115300766,0.315407288832772,0.0148901173172236,0.0956476833499634,-0.0581017854634196,0.161087050701746,0.00839403850347829
"50",50,0.0733812868905608,0.251294812306871,0.030756946685959,4.04208888582502e-11,0.149439969764039,-0.00354069148670679,0.321974626780103,0.177829380415163
"70",70,0.169313220644551,0.451212169890741,7.13327569334954e-06,0,0.243050572278644,0.0936303391446511,0.510403612756993,0.387765285323495
"90",90,0.221167038543387,0.634122653897197,6.041959932368e-09,0,0.29308420521261,0.146761182530128,0.677963556136512,0.585786720732603
"110",110,0.217392743518337,0.657691830279173,1.0787325144257e-08,0,0.28945564023849,0.142879394465027,0.699228383692355,0.611729789083073
