"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0,0.0190722035459145,0.5,0.313711948385213,0.076901997661955,-0.0769019976619549,0.0958336429092032,-0.0579147371138156
"30",30,0.025228581314779,0.0885219880368211,0.260414090277967,0.012005133373054,0.101932816235127,-0.0517738642865451,0.164305473278427,0.0116996358532199
"50",50,0.114243080705794,0.25115236196498,0.00176942317881457,4.14563938733181e-11,0.189480394360261,0.0376720516494398,0.321838335916629,0.17768213814837
"70",70,0.271821521772052,0.473521347872769,8.94950780150339e-13,0,0.341583194803753,0.199081038087653,0.53108405889348,0.411607945536239
"90",90,0.357650324811641,0.67651989730844,0,0,0.422920311878477,0.288688420524035,0.716162991424561,0.632525501598169
"110",110,0.366712003860922,0.67102558912063,0,0,0.43144681910734,0.298220076478299,0.711226041238371,0.626450444211995
