"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0,0.0273728335935605,0.5,0.243007688114914,0.076901997661955,-0.0769019976619549,0.10405579115287,-0.049633644159227
"30",30,0.0231194813512349,0.113729757722737,0.27813945207311,0.00184570005891871,0.0998439630066306,-0.0538783084033004,0.188978936991415,0.0371526992612912
"50",50,0.121548784698883,0.315594379192771,0.000953162232797067,1.11022302462516e-16,0.19661297319538,0.0450680536539183,0.383196265488338,0.244629499915353
"70",70,0.289689734525773,0.5989185795413,2.46469511466785e-14,0,0.358602877937457,0.217636174465294,0.64606413263842,0.547220482108419
"90",90,0.38299580398984,0.846146070803472,0,0,0.446739907529312,0.315382821486895,0.866654575190877,0.822782816928392
"110",110,0.392935807330359,0.915841179529469,0,0,0.456056883965625,0.325881138797177,0.927424644417338,0.902502443635637
