"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0,0.0120090382446889,0.5,0.37995715803363,0.076901997661955,-0.0769019976619549,0.0888290006340523,-0.0649529446978149
"30",30,0.0217190042438716,0.0886499034018574,0.290225000634356,0.0119032059555978,0.0984565563378057,-0.0552753161754914,0.164430917183621,0.0118285451271952
"50",50,0.090454317654033,0.276123103941911,0.0105432374285876,3.86135567964629e-13,0.166200207109458,0.0136472518827941,0.345684688334036,0.203543228331202
"70",70,0.217892975275196,0.513942482571357,9.99561877712551e-09,0,0.289936676538917,0.143393741226476,0.568380271061844,0.45502451130974
"90",90,0.294701600896916,0.737804405572688,8.65973959207622e-15,0,0.363368526117404,0.222850086347147,0.770963015873068,0.7006567117056
"110",110,0.297517391753991,0.766111239009626,4.66293670342566e-15,0,0.366044409807668,0.225781196005168,0.796110028461398,0.732356371984407
